Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Brigitte Zypries,27.11.2018,Justizministerium,BM’in Katarina Barley (Vorstellung der Deutsch-Israelischen Juristenvereinigung)
Eckart von Klaeden,27.11.2018,Wirtschaftsministerium,PSt Oliver Wittke (Gesprächsrunde Wirtschaftspolitik)
Ronald Pofalla,27.11.2017,Bundeskanzleramt,BM Peter Altmaier (Stuttgart 21)
Eckart von Klaeden,27.10.2020,Finanzministerium,BM Olaf Scholz (Elektromobilität)
Steffen Kampeter,27.10.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Ronald Pofalla,27.08.2019,Wirtschaftsministerium,PSt Oliver Wittke
Steffen Kampeter,27.08.2018,Gesundheitsministerium,BM Jens Spahn (allgemeiner Austausch)
Steffen Kampeter,27.07.2020,Wirtschaftsministerium,BM Peter Altmaier (Werkverträge)
Maria Böhmer,27.07.2019,Bildungsministerium,St Georg Schütte (UNESCO)
Eckart von Klaeden,27.07.2017,Bundeskanzleramt,StM Helge Braun (Automobilthemen)
Ronald Pofalla,27.06.2019,Entwicklungshilfeministerium,BM Gerd Müller (Teilnahme an Arbeitsfrühstück)
Maria Böhmer,27.06.2018,Bildungsministerium,St Georg Schütte (UNESCO)
Steffen Kampeter,27.06.2018,Wirtschaftsministerium,PSt Oliver Wittke
Ronald Pofalla,27.04.2018,Wirtschaftsministerium,PSt Oliver Wittke
Eckart von Klaeden,27.03.2018,Bundeskanzleramt,BM Helge Braun (Automobilthemen)
Steffen Kampeter,27.01.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Ronald Pofalla,27.01.2020,"Finanzministerium, Verkehrsministerium","St Werner Gatzer, St Michael Güntner (Gespräch zur Unterzeichnung Eigenkapitalerhöhung)"
Eckart von Klaeden,26.11.2018,Entwicklungshilfeministerium,BM Gerd Müller (Austausch zu synthetischen Kraftstoffen)
Eckart von Klaeden,26.10.2018,Umweltministerium,BM’in Svenja Schulze (u. a. Beitrag der Automobilindustrie zur Erreichung der Klimaziele)
Ronald Pofalla,26.09.2019,Verkehrsministerium,St Michael Güntner (Digitale Schiene)
Ronald Pofalla,26.07.2019,Finanzministerium,St Werner Gatzer (LufV)
Steffen Kampeter,26.07.2019,Wirtschaftsministerium,St Ulrich Nußbaum (Sozialpartnergespräche)
Ronald Pofalla,26.06.2020,Entwicklungshilfeministerium,PSt‘in Maria Flachsbarth (Der Grüne Knopf)
Eckart von Klaeden,26.06.2018,Auswärtiges Amt,StM Niels Annen (Telefonat zu Ostasien)
Ronald Pofalla,26.06.2018,Umweltministerium,BM’in Svenja Schulze (Arbeit der Strukturwandelkommission)
Ronald Pofalla,26.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Konstituierende Sitzung Kohlekommission)
Katherina Reiche,26.05.2020,Wirtschaftsministerium Verkehrsministerium Verteidigungsministerium,"BM Peter Altmaier, BM Andreas Scheuer, St’in Tamara Zieschang BM‘in Annegret Kramp-Karrenbauer, St Benedikt Zimmer (Energiewirtschaft / 450 MHz-Frequenzen)"
Philipp Rösler,26.05.2020,Bundeskanzleramt,StM Hendrik Hoppenstedt (Corona-Behelfskrankenhaus Hannover)
Eckart von Klaeden,26.05.2014,Wirtschaftsministerium,St Stefan Kapferer
Katherina Reiche,26.04.2018,Ernährungs- und Landwirtschaftsministerium,BM’in Julia Klöckner (Bienentag)
Maria Böhmer,26.03.2018,Auswärtiges Amt,"St Walter Lindner (Verleihung des Ordens der Kunst und Literatur, „L’Ordre Officier des Arts et des Lettres“ an Prof. Böhmer durch die französische Botschaft)"
Eckart von Klaeden,26.02.2020,Verkehrsministerium,PSts Steffen Bilger (LKW-Maut)
Ronald Pofalla,26.02.2018,Wirtschaftsministerium,St Matthias Machnig (Kohlekommission)
Steffen Kampeter,26.01.2019,Wirtschaftsministerium,BM Sigmar Gabriel
Steffen Kampeter,25.11.2019,Wirtschaftsministerium,BM Peter Altmaier (Abendessen mit Präsidenten der Wirtschaftsverbände zur Fachkräfteeinwanderung)
Steffen Kampeter,25.10.2018,Bundeskanzleramt,BK’in Angela Merkel (Gespräch mit dem gemeinsamen Präsidium von BDA und BDI)
Steffen Kampeter,25.09.2018,Wirtschaftsministerium,St Ulrich Nußbaum
Ronald Pofalla,25.08.2020,Verkehrsministerium,"BM Andreas Scheuer, PSt Steffen Bilger, St Michael Güntner (Rahmenfinanzierungsvereinbarung DB AG Digitaler Knoten Stuttgart)"
Maria Böhmer,25.06.2021,Bildungsministerium,St Christian Luft (Bildung für nachhaltige Entwicklung)
Katherina Reiche,25.06.2019,Arbeitsministerium,St’n Leonie Gebers (Eröffnung des parlamentarischen Sommerfestes des VKU e. V.)
Eckart von Klaeden,25.06.2019,Finanzministerium,St Wolfgang Schmidt (Thema nicht nachgehalten)
Katherina Reiche,25.06.2019,Umweltministerium,PSt Florian Pronold (Parlamentarischen Sommerfest des Verbands kommunaler Unternehmen e.V.)
Ronald Pofalla,25.06.2018,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Bundeshaushalt 2018/2019 und Masterplan Schienengüterverkehr)"
Katherina Reiche,25.06.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Katherina Reiche,25.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Kohlekommission)
Ronald Pofalla,25.06.2018,Wirtschaftsministerium,"St Ulrich Nußbaum, PSt Bareiß (Kohlekommission)"
Steffen Kampeter,25.06.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Steffen Kampeter,25.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Kohlekommission)
Katherina Reiche,25.03.2020,Finanzministerium,St Wolfgang Schmidt (Strommarkt Corona-Pandemie)
Katherina Reiche,25. oder 26.03.2020,Umweltministerium,St Jochen Flasbarth (Revision AKW unter Corona- Bedingungen)
Eckart von Klaeden,24.11.2020,Verkehrsministerium,"BM AndreasScheuer, MartinDaum,  Daimler Truck AG (LKW-Antriebe)"
Ronald Pofalla,24.11.2016,Wirtschaftsministerium,BM Sigmar Gabriel (9. Deutsch-Russische Rohstoff-Konferenz)
Steffen Kampeter,24.10.2019,Arbeitsministerium,St Leonie Gebers (allgemeiner Austausch)
Eckart von Klaeden,24.10.2018,Verkehrsministerium,PSt Steffen Bilger (Podiumsdiskussion Fachkongress „Stadt der Zukunft – Zukunft der Stadt“)
Jan Mücke,24.09.2018,Umweltministerium,PSt’in Rita Schwarzelühr-Sutter (Einsatz von Single Use Plastics)
Franz Josef Jung,24.08.2018,Verteidigungsministerium,BM´in a.D. Ursula von der Leyen (allgemeiner Austausch)
Ronald Pofalla,24.07.2019,Finanzministerium,St Werner Gatzer (LufV)
Rainer Brüderle,24.07.2018,Arbeitsministerium,"BM Hubertus Heil, St Björn Böhning (Tarifbindung / Arbeitsvertragsrichtlinien)"
Eckart von Klaeden,24.06.2019,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (China)
Steffen Kampeter,24.06.2019,Verkehrsministerium,PSt Enak Ferlemann
Eckart von Klaeden,24.06.2019,Wirtschaftsministerium,BM Peter Altmaier
Eckart von Klaeden,24.05.2018,Wirtschaftsministerium,PSt Oliver Wittke (Gesprächsrunde Wirtschaftspolitik)
Katherina Reiche,24.05.2018,Wirtschaftsministerium,PSt Oliver Wittke
Ronald Pofalla,24.04.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Hildegard Müller,24.02.2021,Arbeitsministerium,St Björn Böhning (Austausch mit dem VDA-Ausschuss für die automobile Lieferkette (ALK) zu „Möglichkeiten und Ausgestaltung eines Sorgfaltspflichtengesetzes“)
Steffen Kampeter,24.02.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
