Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Hildegard Müller,17.11.2020,Verkehrsministerium,BM Andreas Scheuer und zahlreiche weitere Teilnehmer (Spitzengespräch Konzertierte Aktion Mobilität)
Hildegard Müller,17.11.2020,Wirtschaftsministerium,BM Peter Altmaier (Konzertierte Aktion Mobilität)
Christian Hirte,17.10.2020,Wirtschaftsministerium,"BM Peter Altmaier (Vorstellung des Unternehmens Lindig, Grüne Mobilität der Zukunft)"
Dirk Niebel,17.09.2019,Entwicklungshilfeministerium,St Martin Jäger (mögliche Lösungsansätze von Wasserknappheit in Entwicklungsländern)
Dirk Niebel,17.09.2019,Entwicklungshilfeministerium,St Martin Jäger (Nachhaltige Wasserversorgung)
Eckart von Klaeden,17.09.2018,Finanzministerium,St Wolfgang Schmidt (Aspen Institute)
Steffen Kampeter,17.08.2020,Arbeitsministerium,St Leonie Gebers (Kurzarbeit)
Sigmar Gabriel,17.06.2020,Wirtschaftsministerium,St Ulrich Nußbaum (PPM)
Eckart von Klaeden,17.05.2019,Bundeskanzleramt,BK’in Angela Merkel (e-Mobilität/Klimaschutz/Handelsfragen)
Dirk Niebel,17.05.2018,Entwicklungshilfeministerium,St Martin Jäger (EZ-Ansätze allgemein)
Steffen Kampeter,17.04.2020,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Eckart von Klaeden,17.04.2018,Bundeskanzleramt,BM Helge Braun (Automobilthemen)
Eckart von Klaeden,17.04.2018,Finanzministerium,"BM Olaf Scholz, St Wolfgang Schmidt (Internationale Wirtschafts-/Handelsthemen, Automobilwirtschaft)"
Ronald Pofalla,17.02.2020,Verkehrsministerium,St Michael Güntner (Tunnel Offenburg)
Eckart von Klaeden,17.01.2020,Gesundheitsministerium,PSt Thomas Gebhart (allgemeiner Austausch)
Steffen Kampeter,16.12.2020,Wirtschaftsministerium,BM Peter Altmaier (KennenlerngesprächmitBDA-Präsident Rainer Dulger)
Steffen Kampeter,16.12.2019,Bundeskanzleramt,"BK’in Angela Merkel; BM Helge Braun (Fachkräftegipfel mit Vertretern der Wirtschaft, der Länder und der Gewerkschaften)"
Ole Schröder,16.12.2019,Verkehrsministerium,"St’in Tamara Zieschang, St Michael Güntner (450 Mhz)"
Ronald Pofalla,16.12.2019,Verkehrsministerium,St Michael Güntner (Digitale Schiene)
Ronald Pofalla,16.11.2020,Wirtschaftsministerium,PSt’in Elisabeth Winkelmeyer-Becker (Infrastruktur/Planung/Investitionen der DB AG in NRW)
Ronald Pofalla,16.10.2020,Bundeskanzleramt,BM Helge Braun (Beihilfegenehmigungsverfahren der Europäischen Kommission zur vorgesehenen Eigenkapitalerhöhung bei der Deutschen Bahn AG)
Eckart von Klaeden,16.10.2019,Wirtschaftsministerium,St Thomas Bareiß (allg. Austausch)
Steffen Kampeter,16.07.2019,Wirtschaftsministerium,BM Peter Altmaier
Steffen Kampeter,16.05.2018,Gesundheitsministerium,BM Jens Spahn (Pflege)
Ronald Pofalla,16.04.2020,Verkehrsministerium,St Michael Güntner (Rahmenvereinbarung 1999/2)
Jan Mücke,16.04.2019,Wirtschaftsministerium,PSt Oliver Wittke (Tabakwerbeverbot)
Ronald Pofalla,16.04.2015,Wirtschaftsministerium,BM Sigmar Gabriel
Steffen Kampeter,16.03.2021,Bundeskanzleramt,BM Helge Braun (Telefonat zum DARP)
Steffen Kampeter,16.03.2020,Wirtschaftsministerium,BM Peter Altmaier (Konjunkturmaßnahmen)
Hildegard Müller,16.02.2021,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Steffen Kampeter,16.02.2021,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Uwe Beckmeyer,16.01.2019,Auswärtiges Amt,StM Niels Annen (Telefonat zu Fragen zu Exportgenehmigungen)
Dirk Niebel,16.01.2015,Auswärtiges Amt,St Stephan Steinlein (Gespräch zu versch. Themen)
Ronald Pofalla,15.12.2016,Verteidigungsministerium,St Gerd Hoofe (LKW Kartell/SEA)
Eckart von Klaeden,15.10.2020,Verkehrsministerium,"PSt Steffen Bilger, Til Oberwörder (Situation der Busbranche aufgrund von COVID- 19, Maßnahmen von Daimler Buses und weitere Impulse)"
Ronald Pofalla,15.10.2019,Verkehrsministerium,"BM Andreas Scheuer, St Michael Güntner (allgemeiner Austausch)"
Ole Schröder,15.10.2019,Wirtschaftsministerium,PSt Thomas Bareiß (Parl. Abend des Deutschen Lotto- und Totoblocks)
Eckart von Klaeden,15.09.2017,Wirtschaftsministerium,"BM’in Brigitte Zypries (New Mobility World, Dronemasters Mobility Conference, IAuswärtiges Amt)"
Steffen Kampeter,15.07.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Ronald Pofalla,15.07.2020,Finanzministerium,"St Werner Gatzer (Update DSD-Kooperation mit VDB&EBA, Beschleunigung Rollout)"
Ronald Pofalla,15.06.2020,Verkehrsministerium,St Michael Güntner (Rahmenvereinbarung 1999/2)
Eckart von Klaeden,15.05.2020,Wirtschaftsministerium,"St Thomas Bareiß (Brennstoffzelle, Wasserstoffstrategie)"
Jan Mücke,15.04.2021,Wirtschaftsministerium,PSt’in Elisabeth Winkelmeyer-Becker (Umsetzung der Einwegkunststoffrichtlinie)
Katherina Reiche,15.04.2021,Wirtschaftsministerium,St Andreas Feicht (Gespräch mit den Gesellschaftern des Betreiberkonsortiums „450connect“)
Katherina Reiche,15.04.2019,Bundeskanzleramt,BM Helge Braun (Rat für Nachhaltige Entwicklung)
Hildegard Müller,15.03.2021,Wirtschaftsministerium,BM Peter Altmaier (Bündnis „Zukunft der Industrie“)
Steffen Kampeter,15.03.2019,Bundeskanzleramt,BK’in Angela Merkel (Münchner Spitzengespräch)
Dirk Niebel,15.03.2019,Wirtschaftsministerium,St Ulrich Nußbaum
Brigitte Zypries,15.03.2018,Wirtschaftsministerium,"BM Peter Altmaier, PSt Oliver Wittke (Amtsübergabe im Wirtschaftsministerium)"
Steffen Kampeter,15.01.2020,Bundeskanzleramt,"BM Helge Braun (Konzertierte Aktion Mobilität –Gespräch zum Thema Beschäftigung und Qualifizierung mit Arbeitgebern, Betriebsräten, Sozialpartnern und Vertretern der Länder)"
Ronald Pofalla,15.01.2020,"Finanzministerium, Verkehrsministerium","St Werner Gatzer, St Michael Güntner, PSt Enak Ferlemann (Vorabstimmung der Mittelverwendung Eigenkapitalerhöhung 2020-2030)"
Ronald Pofalla,15.01.2019,Bundeskanzleramt,"BK’in Angela Merkel, BM Helge Braun (Kommission „Wachstum, Strukturwandel und Beschäftigung“)"
Ronald Pofalla,15.01.2019,Wirtschaftsministerium,"BM Peter Altmaier, BK’in Angela Merkel (Kohlekommission)"
Ronald Pofalla,15.-16.06.2021,Wirtschaftsministerium,PSt’in Elisabeth Winkelmeyer-Becker (StrategiesitzungDBAG/Aufsichtsratsitzung DB AG)
Eckart von Klaeden,14.12.2018,Finanzministerium,St Wolfgang Schmidt (Aspen Institute)
Steffen Kampeter,14.10.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Maria Böhmer,14.09.2018,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Start-Stiftung)
Katherina Reiche,14.09.2018,Wirtschaftsministerium,BM Peter Altmaier (Kohlekommission)
Katherina Reiche,14.08.2018,Finanzministerium,"BM Olaf Scholz, St Rolf Bösinger (Kommunales)"
Katherina Reiche,14.08.2018,Umweltministerium,BM’in Svenja Schulze (u. a. Beitrag der Kommunen zur Erreichung der Klimaziele)
Steffen Kampeter,14.07.2021,Wirtschaftsministerium,BM Peter Altmaier (Zukunftsfähigkeit der sozialen Marktwirtschaft im Blick: Zur Rolle stabiler Sozialbeiträge)
Ronald Pofalla,14.07.2020,Verkehrsministerium,BM Andreas Scheuer (Baustellenbesichtigung Umbau Bahnhof Donauwörth)
Katherina Reiche,14.07.2019,Verkehrsministerium,PSt Steffen Bilger (Breitband)
Katherina Reiche,14.06.2016,Umweltministerium,BM’in Barbara Hendricks
Ronald Pofalla,14.05.2019,Finanzministerium/Verkehrsministerium,"St Werner Gatzer, St Gerhard Schulz (LufV)"
Ronald Pofalla,14.05.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Steffen Kampeter,14.04.2021,Wirtschaftsministerium,St’in Claudia Dörr-Voß (Corona)
Brigitte Zypries,14.04.2020,Wirtschaftsministerium,"PSt Thomas Bareiß (Software-Idee, Zugangskontrolle)"
Ronald Pofalla,14.04.2016,Wirtschaftsministerium,BM Sigmar Gabriel (Führungskräfteveranstaltung der Deutschen Bahn AG)
Ronald Pofalla,14.04.2016,Entwicklungshilfeministerium,BM Gerd Müller (Gespräch zu Bahntrassen im Allgäu in Funktion MdB)
Sigmar Gabriel,14.02.2020,Auswärtiges Amt,StM‘in Michelle Müntefering (Roundtable Atlantik-Brücke)
Ronald Pofalla,14.01.2020,Finanzministerium,St Werner Gatzer (Eigenkapitalerhöhung)
Ronald Pofalla,14.01.2020,"Verkehrsministerium, Finanzministerium","BM Andreas Scheuer, BM Olaf Scholz, St Michael Güntner (Unterzeichnung LuFV III)"
Uwe Beckmeyer,13.12.2018,Umweltministerium,PSt’in Rita Schwarzelühr-Sutter (Fauna-Flora-Habitatrichtlinie und FFH-Gebiete in Bremen)
Brigitte Zypries,13.11.2019,Justizministerium,BM‘in Christine Lambrecht (Deutsch-Israelische Juristenvereinigung)
Katherina Reiche,13.10.2020,Bundeskanzleramt,BK’in Angela Merkel (parallele Teilnahme am Deutsch-Französischen Technologiedialog)
Christian Hirte,13.10.2020,Ernährungs- und Landwirtschaftsministerium,PSt Uwe Feiler (Gespräche mit Landwirten im Wahlkreis von Christian Hirte)
Eckart von Klaeden,13.09.2019,Bundeskanzleramt,BM Helge Braun (Gespräch mit dem neuen Vorstandvorsitzenden der Daimler AG)
Steffen Kampeter,13.09.2018,Arbeitsministerium,St Rolf Schmachtenberg anlässlich Landesgeschäftsführerkonferenz der Bundesvereinigung der Deutschen Arbeitgeberverbände
Franz Josef Jung,13.09.2018,Verteidigungsministerium,PSt Peter Tauber; PSt Thomas Silberhorn
Franz Josef Jung,13.09.2018,Verteidigungsministerium,"PSt Peter Tauber, PSt Thomas Silberhorn (allgemeiner Austausch)"
Eckart von Klaeden,13.09.2016,Bundeskanzleramt,StM Helge Braun (Automobilthemen)
Sabine Leutheusser- Schnarrenberger,13.07.2020,Auswärtiges Amt,St Miguel Berger (Friedrich-Naumann-Stiftung)
Katherina Reiche,13.05.2020,Wirtschaftsministerium,St Andreas Feicht (Infrastrukturplattform DigiKoo)
Steffen Kampeter,13.04.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Steffen Kampeter,13.03.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Steffen Kampeter,13.03.2020,Bundeskanzleramt,BK’in Angela Merkel; StM Hendrik Hoppenstedt (Gespräch mit Wirtschaftsverbänden und Gewerkschaften zu den wirtschaftlichen Folgen des Coronavirus)
Ronald Pofalla,13.03.2020,Finanzministerium,St Werner Gatzer (Haushalt)
Steffen Kampeter,13.03.2019,Verkehrsministerium,St Guido Beermann
Steffen Kampeter,13.03.2017,Bundeskanzleramt,BK’in Angela Merkel (Münchner Spitzengespräch)
Ronald Pofalla,13.03.2017,Umweltministerium,BM’in Barbara Hendricks
Steffen Kampeter,13.02.2020,Arbeitsministerium,St Leonie Gebers (Fachkräfteeinwanderung)
Steffen Kampeter,13.01.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Steffen Kampeter,13.01.2020,Arbeitsministerium,"BM Hubertus Heil (Betriebliche Weiterbildung, Arbeitszeitregelungen, arbeitsrechtliche Vorhaben für 2020)"
Steffen Kampeter,12.12.2018,Bundeskanzleramt,StM’n Dorothee Bär (Impulsreferat Digitale Bildung beim BDA)
Steffen Kampeter,12.12.2018,Bildungsministerium,"BM’in Anja Karliczek, St Christian Luft (BBiG-Novelle)"
Eckart von Klaeden,12.12.2018,Wirtschaftsministerium,BM Peter Altmaier (2. Gesprächsrunde der Konrad-Adenauer-Stiftung)
Katherina Reiche,12.12.2018,Wirtschaftsministerium,BM Peter Altmaier (2. Gesprächsrunde der Konrad-Adenauer-Stiftung)
Ronald Pofalla,12.12.2018,Wirtschaftsministerium,BM Peter Altmaier (2. Gesprächsrunde der Konrad-Adenauer-Stiftung)
Steffen Kampeter,12.11.2019,Wirtschaftsministerium,BM Peter Altmaier (Arbeitgebertag BDA)
Eckart von Klaeden,12.10.2018,Bundeskanzleramt,StM Hendrik Hoppenstedt (Automobilthemen)
Ronald Pofalla,12.10.2016,Justizministerium,BM Heiko MAuswärtiges Amts (Pauschalreiserichtlinie)
Ronald Pofalla,12.09.2019,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Eckart von Klaeden,12.09.2018,Bundeskanzleramt,StM Hendrik Hoppenstedt (Automobilthemen)
Katherina Reiche,12.09.2018,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Arbeitsmarktchancen von Migrantinnen und Migranten)
Ronald Pofalla,12.09.2018,Umweltministerium,BM’in Svenja Schulze (Arbeit der Strukturwandelkommission)
Ronald Pofalla,12.09.2016,Justizministerium,BM Heiko MAuswärtiges Amts (Pauschalreiserichtlinie)
Katherina Reiche,12.08.2020,Wirtschaftsministerium,St Andreas Feicht (EEG Umlage)
Peter Tauber,12.06.2021,Bildungsministerium,PSt Michael Meister (CDU-Landesparteitag mit Verleihung der Alfred Dregger Medaille in Gold an Peter Tauber)
Steffen Kampeter,12.06.2020,Bundeskanzleramt,"BM Helge Braun (Gespräch mit Vertretern der Arbeitgeber, Wirtschaft und Gewerkschaften zur Corona-Warn-App der BReg)"
Maria Böhmer,12.04.2019,Bildungsministerium,St Christian Luft (Bildung für nachhaltige Entwicklung)
Ronald Pofalla,12.03.2021,Wirtschaftsministerium,PSt’in Elisabeth Winkelmeyer-Becker (Informationsveranstaltung zum Jahresab- schluss 2020 der DB AG)
Eckart von Klaeden,12.03.2020,Gesundheitsministerium,PSt Thomas Gebhart (Corona)
Eckart von Klaeden,12.03.2018,Umweltministerium,BM’in Barbara Hendricks
Steffen Kampeter,12.02.2021,Wirtschaftsministerium,BM Peter Altmaier (Lieferkettengesetz)
Hildegard Müller,12.01.2021,Verkehrsministerium,"St’in Tamara Zieschang (allgemeiner Austausch,u.a.Elektromobilität, Ladeinfrastruktur)"
Hildegard Müller,12.01.2021,Wirtschaftsministerium,BM Peter Altmaier (Engpass bei Halbleiterkomponenten)
Ole Schröder,11.12.2018,Gesundheitsministerium,St Lutz Stroppe (Pflegekräfte Pakistan)
Hildegard Müller,11.11.2020,Bundeskanzleramt,BK’in Angela Merkel
Ronald Pofalla,11.09.2019,Wirtschaftsministerium,"PSt Oliver Wittke, (Gespräch zu aktuellen Bahnthemen)"
Katherina Reiche,11.09.2017,Wirtschaftsministerium,PSt Dirk Wiese (Startup-Night Wirtschaftsministerium)
Ronald Pofalla,11.07.2019,Finanzministerium/Verkehrsministerium,"St Werner Gatzer, St Gerhard Schulz (LufV)"
Eckart von Klaeden,11.07.2018,Arbeitsministerium,BM Hubertus Heil
Ole Schröder,11.06.2019,Verkehrsministerium,St Guido Beermann (Autonomes Fahren)
Eckart von Klaeden,11.06.2018,Verkehrsministerium,BM Andreas Scheuer (Automobilwirtschaft)
Jan Mücke,11.05.2020,Bundeskanzleramt,"StM Hendrik Hoppenstedt (Tabakerzeugnisgesetz, Tabakwerbeverbot)"
Ronald Pofalla,11.05.2020,Verkehrsministerium,St Güntner (Rahmenvereinbarung 1999/2)
Ronald Pofalla,11.05.2020,Verkehrsministerium,"BM Andreas Scheuer, PSt Steffen Bilger, St’in Tamara Zieschang (Corona)"
Katherina Reiche,11.04.2018,Ernährungs- und Landwirtschaftsministerium,BM’in Julia Klöckner (Ländliche Räume)
Eckart von Klaeden,11.03.2020,Umweltministerium,St Jochen Flasbarth (LKW-Maut)
Ronald Pofalla,11.02.2019,Bundeskanzleramt,"BK’in Angela Merkel, BM Helge Braun (Kommission „Wachstum, Strukturwandel und Beschäftigung“)"
Steffen Kampeter,11.01.2021,Arbeitsministerium,"BM Hubertus Heil (Austausch mit Sozialpartnern und BA zu aktueller Lage, v.a. Corona und Lage bei Bundesagentur für Arbeit)"
Steffen Kampeter,10.12.2020,Arbeitsministerium,BM Hubertus Heil (Bundesagentur für Arbeit)
Ronald Pofalla,10.12.2020,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Einzelwagenverkehr, Corona)"
Ronald Pofalla,10.12.2019,Bundeskanzleramt,StM’n Dorothee Bär (Bahnanbindung WK 248)
Steffen Kampeter,10.11.2020,Arbeitsministerium,BM Hubertus Heil (Austausch mit Sozialpartnern zur Zukunft des Europäischen Sozialen Dialogs)
Steffen Kampeter,10.11.2020,Arbeitsministerium,BM Hubertus Heil (Gemeinsame Teilnahme an Fachveranstaltung „Ein starkes soziales Europa für gerechte Übergänge
Franz Josef Jung,10.11.2018,Ernährungs- und Landwirtschaftsministerium,BM’in Julia Klöckner (Verleihung Prof. Müller-Thurgau-Preis 2018)
Franz Josef Jung,10.10.2019,Verteidigungsministerium,"PSt Peter Tauber, PSt Thomas Silberhorn (2. Sicherheitssymposium 70 Jahre NATO in Kronberg)"
Ronald Pofalla,10.10.2018,Bildungsministerium,PSt Thomas Rachel (Braunkohlegesprächskreis der CDU/CSU-Fraktion im Deutschen Bundestag)
Ronald Pofalla,10.10.2018,Wirtschaftsministerium,PSt Oliver Wittke
Ronald Pofalla,10.10.2018,Wirtschaftsministerium,BM Peter Altmaier (Kohlekommission)
Ronald Pofalla,10.09.2019,Familienministerium,BM’in Franziska Giffey (mögliche Unterstützung der Deutschen Bahn für Freiwilligendienstleistende)
Ronald Pofalla,10.09.2018,Bundeskanzleramt,StM Hendrik Hoppenstedt (Aktuelle Situation der Deutschen Bahn AG)
Steffen Kampeter,10.09.2018,Arbeitsministerium,PSt’in Kerstin Griese und PSt’in Anette Kramme
Steffen Kampeter,10.07.2019,Bundeskanzleramt,StM Hendrik Hoppenstedt (Bürokratieabbau-Spitzentreffen)
Steffen Kampeter,10.07.2019,Arbeitsministerium,St Rolf Schmachtenberg (Bürokratieabbau-Spitzentreffen)
Eckart von Klaeden,10.07.2019,Gesundheitsministerium,BM Jens Spahn (allgemeiner Austausch)
Eckart von Klaeden,10.07.2019,Umweltministerium,BM’in Svenja Schulze (u. a. Beitrag der Automobilindustrie zur Erreichung der Klimaziele)
Katherina Reiche,10.07.2019,Verkehrsministerium,BM Andreas Scheuer (Gesprächsgipfel Abbiegeassistent)
Katherina Reiche,10.07.2018,Arbeitsministerium,BM Hubertus Heil
Ronald Pofalla,10.06.2021,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Fahrzeuginstandhaltungswerk Cottbus)"
Ronald Pofalla,10.06.2020,Finanzministerium,St Werner Gatzer (Digitalisierung Schiene)
Katherina Reiche,10.03.2021,Wirtschaftsministerium,St Andreas Feicht (Nationaler Wasserstoffrat)
Ronald Pofalla,10.03.2020,Verkehrsministerium,St Michael Güntner (BHO-Anträge allgemein)
Steffen Kampeter,10.03.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Verbändegespräch Wirtschaftliche Auswirkungen des Coronavirus)
Ronald Pofalla,10.03.2015,Bundeskanzleramt,"BM Peter Altmaier (Allgemeine Themen, u. a. wirtschaftliche Entwicklung des DB-Konzerns)"
Christian Hirte,09.12.2020,Kulturstaatsministerin,StM’in Monika Grütters (Bürgerdialog/Kultur vor Ort (digital))
Ronald Pofalla,09.12.2020,Wirtschaftsministerium,PSt’in Elisabeth Winkelmeyer-Becker (Aufsichtsratssitzung DB AG)
Katherina Reiche,09.12.2019,Verkehrsministerium,"St Michael Güntner (Mobilität in Städten, sauberer Verkehr, 450 Mhz)"
Ronald Pofalla,09.11.2018,Wirtschaftsministerium,"BM Peter Altmaier,"
Ronald Pofalla,09.11.2015,Gesundheitsministerium,St Lutz Stroppe (allgemeiner Austausch)
Eckart von Klaeden,09.10.2020,Verkehrsministerium,St’in Tamara Zieschang (allgemeiner Austausch)
Steffen Kampeter,09.09.2020,Entwicklungshilfeministerium,BM Gerd Müller (Sorgfaltspflichten in globalen Lieferketten)
Ronald Pofalla,09.09.2019,Finanzministerium,St Werner Gatzer (LufV)
Katherina Reiche,09.08.2018,Verkehrsministerium,St Guido Beermann (Daten kommunaler Unternehmen/Fuhrparks)
Katherina Reiche,09.07.2020,Wirtschaftsministerium,BM Peter Altmaier (Wasserstoffrat der BReg)
Eckart von Klaeden,09.06.2015,Entwicklungshilfeministerium,BM Gerd Müller (Teilnahme an Veranstaltung „Politischer Dialog im Haus Huth“)
Katherina Reiche,09.05.2018,Bundeskanzleramt,BM Helge Braun (Antrittsbesuch VKU)
Eckart von Klaeden,09.05.2018,Verkehrsministerium,BM Andreas Scheuer (Automobilwirtschaft)
Sigmar Gabriel,09.04.2020,Bundeskanzleramt,BK’in Angela Merkel (EU-Bankenabgabe)
Steffen Kampeter,09.04.2019,Wirtschaftsministerium,BM Peter Altmaier (Sitzung des BDA-Vizepräsidiums)
Ronald Pofalla,09.03.2020,Verkehrsministerium,St Michael Güntner (BHO-Anträge allgemein)
Eckart von Klaeden,09.03.2020,Wirtschaftsministerium,BM Peter Altmaier (Industriepolitik)
Steffen Kampeter,09.03.2018,Bundeskanzleramt,BK’in Angela Merkel (Münchner Spitzengespräch)
Ronald Pofalla,09.02.2021,Innenministerium,St Hans-Georg Engelke (Bundespolizeigesetz)
Steffen Kampeter,08.12.2020,Arbeitsministerium,St Björn Böhning (diverse Themen der Arbeits- und Sozialpolitik)
Eckart von Klaeden,08.11.2018,Verkehrsministerium,"BM Andreas Scheuer, St Guido Beermann (Spitzengespräch Automobilwirtschaft)"
Steffen Kampeter,08.08.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Lieferkettengesetz)
Hildegard Müller,08.06.2021,Wirtschaftsministerium,BM Peter Altmaier (Future Mobility Summit des Tagesspiegel)
Uwe Beckmeyer,08.06.2020,Justizministerium,PSt Christian Lange (Covid-19 Pandemie)
Katherina Reiche,08.05.2019,Wirtschaftsministerium,"PSt Thomas Bareiß, St Andreas Feicht (Kamingespräch zu CO2-Bepreisung im Wirtschaftsministerium)"
Katherina Reiche,08.05.2019,Entwicklungshilfeministerium,St Martin Jäger (Betreiberpartnerschaften in der EZ)
Steffen Kampeter,08.04.2021,Bundeskanzleramt,"BK’in Angela Merkel, BM Helge Braun (Telefonat zu Testpflicht in Unternehmen)"
Hildegard Müller,08.04.2021,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Steffen Kampeter,08.04.2021,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Katherina Reiche,08.04.2019,Umweltministerium,PSt Florian Pronold (Gespräch zur DüngeVO mit Länderministern)
Sigmar Gabriel,08.01.2020,Finanzministerium,BM Olaf Scholz (Verschiedene Themen)
Ronald Pofalla,07.12.2016,Verteidigungsministerium,St Gerd Hoofe (Kooperation DB-Bw)
Katherina Reiche + Ole Schröder,07.11.2019,Bundeskanzleramt,BM Helge Braun (Mobilfunk)
Eckart von Klaeden,07.11.2019,Umweltministerium,BM’in Svenja Schulze (PtX (Power-to-X))
Ronald Pofalla,07.11.2019,Verkehrsministerium,"PSt Enak Ferlemann, St Michael Güntner (Mittelverwendung Eigenkapitalerhöhung 2020-2030)"
Ronald Pofalla,07.11.2018,Bildungsministerium,BM’in Anja Karliczek (Strukturwandel in Braunkohleregionen)
Ronald Pofalla,07.11.2018,Wirtschaftsministerium,PSt Oliver Wittke
Ronald Pofalla,07.11.2018,Wirtschaftsministerium,PSt Oliver Wittke (Teilnahme an Hintergrundgespräch im Rahmen des Deutsch-Russischen Rohstoff-Forums)
Ronald Pofalla,07.11.2014,Wirtschaftsministerium,BM Sigmar Gabriel
Steffen Kampeter,07.10.2020,Finanzministerium,St Jörg Kukies (Allgemeiner Austausch)
Philipp Rösler,07.10.2019,Bundeskanzleramt,BM Helge Braun (Sustainable Finance)
Ronald Pofalla,07.10.2018,Wirtschaftsministerium,BM Peter Altmaier (Eröffnungsveranstaltung Petersburger Dialog)
Maria Böhmer,07.09.2020,Verteidigungsministerium,BM‘in Annegret Kramp-Karrenbauer (Militärische Übungsflüge über UNESCO-Welterbe Mittleres Rheintal)
Steffen Kampeter,07.09.2019,Gesundheitsministerium,BM Jens Spahn (öffentliche Diskussionsrunde)
Karl-Theodor zu Guttenberg,07.09.2018,Gesundheitsministerium,BM Jens Spahn (Roundtable mit Familienunternehmen)
Ole Schröder,07.08.2019,Ernährungs- und Landwirtschaftsministerium,BM’in Julia Klöckner (450 MHz- Frequenzen und deren Nutzbarkeit für die ländlichen Räume)
Ronald Pofalla,07.07.2021,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (Petersburger Dialog)
Katherina Reiche,07.05.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Corona-Krise)
Maria Böhmer,07.05.2019,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Start-Stiftung)
Steffen Kampeter,07.05.2019,Wirtschaftsministerium,St Andreas Feicht (Kohlekommission)
Eckart von Klaeden,07.01.2020,Bundeskanzleramt,StM Hendrik Hoppenstedt (Automobilthemen)
Ole Schröder,07.01.2020,Finanzministerium,St Rolf Bösinger (Kampfmittelbeseitigung auf Helgoland)
Ronald Pofalla,06.12.2019,Auswärtiges Amt,StM‘in Michelle Müntefering (Deutschlandjahr Russland)
Ronald Pofalla,06.12.2018,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Bundesmittel Verkehrsträger Schiene)"
Katherina Reiche,06.11.2020,Bundeskanzleramt,BM Helge Braun (Nationaler Wasserstoffrat)
Ronald Pofalla,06.11.2018,Wirtschaftsministerium,"BM Peter Altmaier, (Industriestrompreise)"
Katherina Reiche,06.11.2018,Entwicklungshilfeministerium,PSt’in Maria Flachsbarth (Zusammenarbeit mit VKU)
Katherina Reiche,06.09.2018,Bildungsministerium,PSt Michael Meister (Kommunales)
Ronald Pofalla,06.08.2020,"Finanzministerium, Verkehrsministerium","BM Olaf Scholz, St Werner Gatzer, Pst Enak Ferlemann (Digitalisierung Schiene)"
Steffen Kampeter,06.07.2016,Bundeskanzleramt,BK’in Angela Merkel (Gespräch mit BDA-Präsidium)
Dirk Niebel,06.06.2019,Auswärtiges Amt,St’in Antje Leendertse (Antrittsbesuch von Hr. Niebel)
Ronald Pofalla,06.06.2019,Finanzministerium,St Werner Gatzer (LufV)
Ronald Pofalla,06.06.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Katherina Reiche,06.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Wirtschaftsgespräch der Konrad-Adenauer-Stiftung)
Ronald Pofalla,06.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Wirtschaftsgespräch der Konrad-Adenauer-Stiftung)
Ronald Pofalla,06.06.2016,Bundeskanzleramt,StM Helge Braun (Landesgruppensitzung mit der Deutschen Bahn AG)
Eckart von Klaeden,06.05.2020,Wirtschaftsministerium,BM Peter Altmaier (Kaufprämie)
Ole Schröder,06.05.2019,Verteidigungsministerium,PSt Peter Tauber (Netzausbau und Frequenzversteigerungen)
Ronald Pofalla,06.04.2020,Verkehrsministerium,"BM Andreas Scheuer, PSt Steffen Bilger, St’in Tamara Zieschang (Corona)"
Ronald Pofalla,06.03.2017,Wirtschaftsministerium,BM’in Brigitte Zypries
